platform,season,team_name,owner_id
fleaflicker,2020,Chaos' Leftenant,owner_cliff
fleaflicker,2020,Classy Try-hards,owner_kyle
fleaflicker,2020,Destiny's Second Child,owner_john
fleaflicker,2020,Generic Rebrand,owner_jeff
fleaflicker,2020,Golden Maples,owner_chris_c
fleaflicker,2020,Higher Primates,owner_james
fleaflicker,2020,LGA,owner_grant
fleaflicker,2020,Marshawn's Designated Driver,owner_david
fleaflicker,2020,Playing For Next Year,owner_joe
fleaflicker,2020,Teddy 2 Points,owner_ryan
fleaflicker,2020,Tend to the Sheath,owner_chris_d
fleaflicker,2020,What Could Have Ben,ben_mccoy
fleaflicker,2021,Chaos Leftenant,owner_cliff
fleaflicker,2021,Classy Try-hards,owner_kyle
fleaflicker,2021,Destiny's Second Child,owner_john
fleaflicker,2021,Generic Rebrand,owner_jeff
fleaflicker,2021,Golden Maples,owner_chris_c
fleaflicker,2021,Higher Primates,owner_james
fleaflicker,2021,LGA,owner_grant
fleaflicker,2021,Marshawn's Designated Driver,owner_david
fleaflicker,2021,Playing For Next Year,owner_joe
fleaflicker,2021,Teddy 2 Points,owner_ryan
fleaflicker,2021,Tend to the Sheath,owner_chris_d
fleaflicker,2021,What Could Have Ben,ben_mccoy
fleaflicker,2022,Chaos Leftenant,owner_cliff
fleaflicker,2022,Classy Try-hards,owner_kyle
fleaflicker,2022,Destiny's Second Child,owner_john
fleaflicker,2022,Generic Rebrand,owner_jeff
fleaflicker,2022,Golden Maples,owner_chris_c
fleaflicker,2022,Higher Primates,owner_james
fleaflicker,2022,LGA,owner_grant
fleaflicker,2022,Marshawn's Drunk Driver,owner_david
fleaflicker,2022,Playing For Next Year,owner_joe
fleaflicker,2022,Teddy 2 Points,owner_ryan
fleaflicker,2022,Tend to the Sheath,owner_chris_d
fleaflicker,2022,What Could Have Ben,ben_mccoy
fleaflicker,2023,Average Joe’s,owner_ryan
fleaflicker,2023,Chaos Leftunent,owner_cliff
fleaflicker,2023,Classy Try-hards,owner_kyle
fleaflicker,2023,Destiny's Second Child,owner_john
fleaflicker,2023,Golden Maples,owner_chris_c
fleaflicker,2023,Higher Primates,owner_james
fleaflicker,2023,Karen Williams,owner_jeff
fleaflicker,2023,LGA,owner_grant
fleaflicker,2023,Marshawn's Designated Driver,owner_david
fleaflicker,2023,Playing For Next Year,owner_joe
fleaflicker,2023,Tend to the Sheath,owner_chris_d
fleaflicker,2023,What Could Have Ben,ben_mccoy
fleaflicker,2024,Average Joe’s,owner_ryan
fleaflicker,2024,Chaos Leftunent,owner_cliff
fleaflicker,2024,Classy Try-hards,owner_kyle
fleaflicker,2024,Destiny's Second Child,owner_john
fleaflicker,2024,Generic Rebrand,owner_jeff
fleaflicker,2024,Golden Maples,owner_chris_c
fleaflicker,2024,Higher Primates,owner_james
fleaflicker,2024,LGA,owner_grant
fleaflicker,2024,Marshawn's Designated Driver,owner_david
fleaflicker,2024,Playing For Next Year,owner_joe
fleaflicker,2024,Tend to the Sheath,owner_chris_d
fleaflicker,2024,What Could Have Ben,ben_mccoy
mfl,2013,4 Down & 25 to life: The Aaron Hernandez Story,owner_justin
mfl,2013,Booze Cruz,owner_victor
mfl,2013,Golden Maples,owner_chris_c
mfl,2013,Insane Clown Pussy,owner_jeff
mfl,2013,It Feels Like The Very First Time,owner_alex
mfl,2013,Lady Gaga's Ass,owner_grant
mfl,2013,Maker's DeMarco,owner_travis
mfl,2013,Marshawn's Designated Driver,owner_david
mfl,2013,Steezy Dirt,owner_taylor
mfl,2013,The Rolling BROWNouts,ben_mccoy
mfl,2013,da Yung Truth,owner_kyle
mfl,2013,goodell'S Sinking Ship,owner_joe
mfl,2014,Child Please,owner_justin
mfl,2014,Golden Maples,owner_chris_c
mfl,2014,Higher Primates,owner_james
mfl,2014,Hotboxin the Blount,owner_mckinley
mfl,2014,ICP,owner_jeff
mfl,2014,It Feels Like The Very First Time,owner_alex
mfl,2014,Lady Gaga's Ass,owner_grant
mfl,2014,Marshawn's Designated Driver,owner_david
mfl,2014,Playing For Next Year,owner_joe
mfl,2014,Teddy 2 Points,owner_taylor
mfl,2014,The Tate Tank,ben_mccoy
mfl,2014,half-jew heroes,owner_kyle
mfl,2015,Child Please,owner_justin
mfl,2015,Classy Try-hards,owner_kyle
mfl,2015,Golden Maples,owner_chris_c
mfl,2015,Higher Primates,owner_james
mfl,2015,Hotboxin the Blount,owner_mckinley
mfl,2015,ICP,owner_jeff
mfl,2015,It Feels Like The Very First Time,owner_alex
mfl,2015,Lady Gaga's Ass,owner_grant
mfl,2015,Marshawn's Designated Driver,owner_david
mfl,2015,Playing For Next Year,owner_joe
mfl,2015,Teddy 2 Points,owner_taylor
mfl,2015,The Tate Tank,ben_mccoy
mfl,2016,Child Please,owner_justin
mfl,2016,Classy Try-hards,owner_kyle
mfl,2016,Golden Maples,owner_chris_c
mfl,2016,Higher Primates,owner_james
mfl,2016,Hotboxin the Blount,owner_mckinley
mfl,2016,ICP,owner_jeff
mfl,2016,It Feels Like The Very First Time,owner_alex
mfl,2016,LGA,owner_grant
mfl,2016,Marshawn's Designated Driver,owner_david
mfl,2016,Playing For Next Year,owner_joe
mfl,2016,Teddy 2 Points,owner_taylor
mfl,2016,The Tate Tank,ben_mccoy
mfl,2017,Chaos' Leftenant,owner_cliff
mfl,2017,Classy Try-hards,owner_kyle
mfl,2017,Destiny's Second Child,owner_john
mfl,2017,Golden Maples,owner_chris_c
mfl,2017,Higher Primates,owner_james
mfl,2017,ICP,owner_jeff
mfl,2017,LGA,owner_grant
mfl,2017,Marshawn's Designated Driver,owner_david
mfl,2017,Playing For Next Year,owner_joe
mfl,2017,Teddy 2 Points,owner_taylor
mfl,2017,Tend to the Sheath,owner_chris_d
mfl,2017,What Could Have Ben,ben_mccoy
mfl,2018,Chaos' Leftenant,owner_cliff
mfl,2018,Classy Try-hards,owner_kyle
mfl,2018,Destiny's Second Child,owner_john
mfl,2018,Golden Maples,owner_chris_c
mfl,2018,Higher Primates,owner_james
mfl,2018,ICP,owner_jeff
mfl,2018,LGA,owner_grant
mfl,2018,Marshawn's Designated Driver,owner_david
mfl,2018,Playing For Next Year,owner_joe
mfl,2018,Teddy 2 Points,owner_taylor
mfl,2018,Tend to the Sheath,owner_chris_d
mfl,2018,What Could Have Ben,ben_mccoy
mfl,2019,Chaos' Leftenant,owner_cliff
mfl,2019,Classy Try-hards,owner_kyle
mfl,2019,Destiny's Second Child,owner_john
mfl,2019,Generic Rebrand,owner_jeff
mfl,2019,Golden Maples,owner_chris_c
mfl,2019,Higher Primates,owner_james
mfl,2019,ICP,owner_jeff
mfl,2019,LGA,owner_grant
mfl,2019,Marshawn's Designated Driver,owner_david
mfl,2019,Playing For Next Year,owner_joe
mfl,2019,Teddy 2 Points,owner_taylor
mfl,2019,Tend to the Sheath,owner_chris_d
mfl,2019,What Could Have Ben,ben_mccoy
sleeper,2025,whateverdever,owner_chris_d
sleeper,2025,Chaos Leftenant,owner_cliff
sleeper,2025,Generic Rebrand,owner_jeff
sleeper,2025,Classy Try-hards,owner_kyle
sleeper,2025,Marshawn's DD,owner_david
sleeper,2025,Destiny’s Second Child,owner_john
sleeper,2025,Snipe Hunter,owner_james
sleeper,2025,What Could Have Ben,ben_mccoy
sleeper,2025,Average Joe’s Gym ,owner_ryan
sleeper,2025,JoeyPleasure,owner_joe
sleeper,2025,ManaTDs,owner_grant
sleeper,2025,GoldenMaples,owner_chris_c
